Informe de asociación de recursos
27 de marzo de 2026 - 21 de agosto de 2026
Estado del activo,Recurso,Tipo de recurso,Campaña,Grupo de anuncios,Nivel,Estado,Motivo del estado,Añadido por,Última actualización,Clics,Impr.,CTR,Código de moneda,CPC medio,Coste,Conversiones,Coste/conv.,Tasa de conv.,Valor de conv.
Habilitado,https://tpc.googlesyndication.com/simgad/12266690132248043955,Imagen,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,Grupo de anuncios,Apto,,IA de Google,"3 abr 2026, 13:52",10,37,"27,03%",COP,"1479,00","14790,00","1,00","14790,00","10,00%","0,00"
Habilitado,3025922101,Llamada,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 12:44",33,476,"6,93%",COP,"1172,94","38706,96","4,00","9676,74","12,12%","0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/11057110067928059458,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"28 mar 2025, 16:47",0,5,"0,00%",COP,0,"0,00","0,00",0, --,"0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/795869603340356245,Imagen,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,Grupo de anuncios,Apto,,IA de Google,"3 abr 2026, 13:52",0,0, --,COP,0,"0,00","0,00",0, --,"0,00"
Habilitado,"Conoce nuestros proyectos
Catalogo de trabajos
Clientes satisfechos
https://www.vetadeoro.co/portafolio",Enlace de sitio,Hermanos_garcia_busqueda_noviembre_2023, --,Cuenta,Apto,,Anunciante,"3 dic 2024, 19:50",64,563,"11,37%",COP,"1095,73","70126,86","10,00","7012,69","15,63%","0,00"
Habilitado,Cocinas de lujo,Texto destacado,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 12:44",51,815,"6,26%",COP,"1035,43","52807,02","4,00","13201,76","7,84%","0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/18045187643089440286,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"28 mar 2025, 16:47",5,58,"8,62%",COP,"1622,00","8110,00","0,00",0,"0,00%","0,00"
Habilitado,"Resolvemos sus dudas
Escribanos y saque cita
Díganos que necesita
https://api.whatsapp.com/send?phone=573025922101",Enlace de sitio,Hermanos_garcia_busqueda_noviembre_2023, --,Cuenta,Apto,,Anunciante,"3 dic 2024, 19:50",1,14,"7,14%",COP,"438,08","438,08","0,05","9483,88","4,62%","0,00"
Habilitado,"Marcas:Blum,Hettich,Hafele,Samet",Extracto de sitio,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 14:18",1,11,"9,09%",COP,"903,00","903,00","0,00",0,"0,00%","0,00"
Habilitado,Veta de Oro,Nombre de la empresa,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"28 mar 2025, 16:50",242,1.750,"13,83%",COP,"1274,60","308452,43","39,00","7909,04","16,12%","0,00"
Habilitado,Remodelación y amoblado,Texto destacado,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 12:44",23,328,"7,01%",COP,"1156,96","26610,00","2,00","13305,00","8,70%","0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/547007222968538596,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"27 feb 2024, 12:27",45,427,"10,54%",COP,"907,68","40845,51","11,00","3713,23","24,44%","0,00"
Habilitado,"3025922101
WhatsApp
Deseo cotizar un espacio",Mensaje,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"29 may 2025, 9:18",117,1.480,"7,91%",COP,"1419,36","166064,95","25,00","6642,60","21,37%","0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/8295778130139214281,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"28 mar 2025, 16:47",7,101,"6,93%",COP,"182,57","1278,00","0,00",0,"0,00%","0,00"
Habilitado,Caldiad y Conofort,Texto destacado,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 12:44",25,373,"6,70%",COP,"1243,44","31085,93","4,00","7771,48","16,00%","0,00"
Habilitado,Diseño y remodelación,Texto destacado,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 12:44",77,885,"8,70%",COP,"1261,24","97115,12","11,00","8828,65","14,29%","0,00"
Habilitado,"Modelos:Gama Estandar,Confort Plus,Tech Luxe",Extracto de sitio,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"1 mar 2024, 13:29",0,3,"0,00%",COP,0,"0,00","0,00",0, --,"0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/10024587422365243047,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"28 mar 2025, 16:47",11,137,"8,03%",COP,"951,44","10465,80","2,00","5232,90","18,18%","0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/17183375327047400020,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"11 jul 2024, 16:05",0,4,"0,00%",COP,0,"0,00","0,00",0, --,"0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/15570631153890357262,Logotipo de empresa,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"17 oct 2024, 10:55",239,1.825,"13,10%",COP,"1255,62","300093,43","38,00","7897,20","15,90%","0,00"
Habilitado,Instalaciones y muebles,Texto destacado,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"12 nov 2023, 12:44",45,625,"7,20%",COP,"1309,03","58906,27","6,00","9817,71","13,33%","0,00"
Habilitado,https://tpc.googlesyndication.com/simgad/10172878445052251667,Imagen,Hermanos_garcia_busqueda_noviembre_2023, --,Campaña,Apto,,Anunciante,"11 jul 2024, 16:05",5,33,"15,15%",COP,"724,16","3620,78","2,00","1810,39","40,00%","0,00"
